Title,Media Type,Youtube Video ID,File Url,Duration,Topic,Role,Thumbnail URL
Taming Anger,video,Nql0W8KcVqw,,5_20_minutes,"Anger, How to guides",Others,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/anger2.JPG
Unraveling Anger,video,AOPTnbPU1H8,,5_20_minutes,"Anger, How to guides",Others,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/anger3.JPG
Our Responses to Anger,video,lE97Hbrn7OU,,5_20_minutes,"Anger, How to guides",Others,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/anger4.JPG
Strategies to Manage Anger,video,-YmqITkee-w,,over_20_minutes,"Anger, How to guides",Others,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/anger5.JPG
Guided Meditation to Relieve Anxiety,video,nGvLldq69rs,,5_20_minutes,"Anxiety, How to guides",Others,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/anxietywar1.JPG
Choosing the Right Weapons for Anxiety,video,A2zhzNlDNig,,5_20_minutes,"Anxiety, How to guides",Others,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/anxietywar2.JPG
Strategy for the Win with Anxiety,video,XQ6iWpIWwOs,,over_20_minutes,"Anxiety, How to guides",Others,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/anxietywar3.jpg
Box breathing for stressful situations,video,9lLboKT_aQM,,5_20_minutes,"Stress, How to guides",Others,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/wenlin1.JPG
Breathing for Calm Practice,video,JKVPcDZZZKw,,5_20_minutes,"Stress, How to guides",Others,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/wenlin2.JPG
Heart- Healing Glow to Soothe Anxiety,video,Kem6dILMwfE,,5_20_minutes,"Stress, How to guides",Others,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/wenlin3.JPG
Bubble Breathing,video,1OkCQRykKpA,,5_20_minutes,"Stress, How to guides",Others,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/wenlin4.JPG
Moving Meditation Mood Booster,video,kUiPamsuTFA,,5_20_minutes,"Stress, How to guides",Others,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/wenlin5.JPG
Gentle Morning Qigong to Shake off Stress,video,TKxW9hn4eyI,,over_20_minutes,"Stress, How to guides",Others,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/wenlin6.JPG
Morning Yoga Flow for Calm,video,OGlCEClPo7k,,5_20_minutes,"Stress, How to guides",Others,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/wenlin7.JPG
Frown to Smile QiGong,video,pJnArocIcfg,,over_20_minutes,"Stress, How to guides",Others,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/wenlin8.JPG
Letting Go of Being a People Pleaser,audio,fFUgfA_oZfk,,5_20_minutes,"Self-Care, How to guides",Others,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/selflove1.jpg
Releasing Perfectionism  Feeling Safe Being You,audio,dhwEbNdt5Os,,5_20_minutes,"Self-Care, How to guides",Others,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/selflove2.JPG
Detaching Worth from Your To Do List,audio,qR50YHjTLv4,,5_20_minutes,"Self-Care, How to guides",Others,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/selflove3.JPG
Self Love,audio,ZwFktbvfc1s,,5_20_minutes,"Self-Care, How to guides",Others,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/selflove4.JPG
Tapping Into Personal Power,audio,HTZgpBmyDYo,,5_20_minutes,"Self-Care, How to guides",Others,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/selflove5.JPG
